# 23.05.2012/SH / 16.08.2007/VE;;;;;;;;
# File mit Baumliste für Sortimentssimulator;;;;;;;;
# ========================================================;;;;;;;;
#ID;Baumart;Baumart (Code entsprechend verwendeter Schaftformfunktion, z. B. Lemm1991); Beschrieb;Aufnahme-Datum;BHD;D7m; SchaftLaenge_m;
1;Fichte;100; Fichte_1_1;2010;32;28;29;
2;Fichte;100; Fichte_2_2;2010;32;28;29;
3;Fichte;100; Fichte_3_3;2010;32;0;29;
4;Tanne;101;  Tanne_1_4;2010;32;0;29;
5;Tanne;101;  Tanne_2_5;2010;32;0;29;
6;Fichte;100; Fichte_1_6;2010;32;28;29;
7;Fichte;100; Fichte_2_7;2010;32;28;29;
8;Fichte;100; Fichte_3_8;2010;32;0;29;
9;Tanne;101;  Tanne_1_9;2010;32;0;29;
10;Tanne;101;  Tanne_2_10;2010;32;0;29;
11;Fichte;100; Fichte_1_11;2010;32;28;29;
12;Fichte;100; Fichte_2_12;2010;32;28;29;
13;Fichte;100; Fichte_3_13;2010;32;0;29;
14;Tanne;101;  Tanne_1_14;2010;32;0;29;
15;Tanne;101;  Tanne_2_15;2010;32;0;29;
16;Fichte;100; Fichte_1_16;2010;32;28;29;
17;Fichte;100; Fichte_2_17;2010;32;28;29;
18;Fichte;100; Fichte_3_18;2010;32;0;29;
19;Tanne;101;  Tanne_1_19;2010;32;0;29;
20;Tanne;101;  Tanne_2_20;2010;32;0;29;
21;Fichte;100; Fichte_1_21;2010;32;28;29;
22;Fichte;100; Fichte_2_22;2010;32;28;29;
23;Fichte;100; Fichte_3_23;2010;32;0;29;
24;Tanne;101;  Tanne_1_24;2010;32;0;29;
25;Tanne;101;  Tanne_2_25;2010;32;0;29;
26;Fichte;100; Fichte_1_26;2010;32;28;29;
27;Fichte;100; Fichte_2_27;2010;32;28;29;
28;Fichte;100; Fichte_3_28;2010;32;0;29;
29;Tanne;101;  Tanne_1_29;2010;32;0;29;
30;Tanne;101;  Tanne_2_30;2010;32;0;29;
31;Fichte;100; Fichte_1_31;2010;32;28;29;
32;Fichte;100; Fichte_2_32;2010;32;28;29;
33;Fichte;100; Fichte_3_33;2010;32;0;29;
34;Tanne;101;  Tanne_1_34;2010;32;0;29;
35;Tanne;101;  Tanne_2_35;2010;32;0;29;
36;Fichte;100; Fichte_1_36;2010;32;28;29;
37;Fichte;100; Fichte_2_37;2010;32;28;29;
38;Fichte;100; Fichte_3_38;2010;32;0;29;
39;Tanne;101;  Tanne_1_39;2010;32;0;29;
40;Tanne;101;  Tanne_2_40;2010;32;0;29;
41;Fichte;100; Fichte_1_41;2010;32;28;29;
42;Fichte;100; Fichte_2_42;2010;32;28;29;
43;Fichte;100; Fichte_3_43;2010;32;0;29;
44;Tanne;101;  Tanne_1_44;2010;32;0;29;
45;Tanne;101;  Tanne_2_45;2010;32;0;29;
46;Fichte;100; Fichte_1_46;2010;32;28;29;
47;Fichte;100; Fichte_2_47;2010;32;28;29;
48;Fichte;100; Fichte_3_48;2010;32;0;29;
49;Tanne;101;  Tanne_1_49;2010;32;0;29;
50;Tanne;101;  Tanne_2_50;2010;32;0;29;
51;Fichte;100; Fichte_1_51;2010;32;28;29;
52;Fichte;100; Fichte_2_52;2010;32;28;29;
53;Fichte;100; Fichte_3_53;2010;32;0;29;
54;Tanne;101;  Tanne_1_54;2010;32;0;29;
55;Tanne;101;  Tanne_2_55;2010;32;0;29;
56;Fichte;100; Fichte_1_56;2010;32;28;29;
57;Fichte;100; Fichte_2_57;2010;32;28;29;
58;Fichte;100; Fichte_3_58;2010;32;0;29;
59;Tanne;101;  Tanne_1_59;2010;32;0;29;
60;Tanne;101;  Tanne_2_60;2010;32;0;29;
61;Fichte;100; Fichte_1_61;2010;32;28;29;
62;Fichte;100; Fichte_2_62;2010;32;28;29;
63;Fichte;100; Fichte_3_63;2010;32;0;29;
64;Tanne;101;  Tanne_1_64;2010;32;0;29;
65;Tanne;101;  Tanne_2_65;2010;32;0;29;
66;Fichte;100; Fichte_1_66;2010;32;28;29;
67;Fichte;100; Fichte_2_67;2010;32;28;29;
68;Fichte;100; Fichte_3_68;2010;32;0;29;
69;Tanne;101;  Tanne_1_69;2010;32;0;29;
70;Tanne;101;  Tanne_2_70;2010;32;0;29;
71;Fichte;100; Fichte_1_71;2010;32;28;29;
72;Fichte;100; Fichte_2_72;2010;32;28;29;
73;Fichte;100; Fichte_3_73;2010;32;0;29;
74;Tanne;101;  Tanne_1_74;2010;32;0;29;
75;Tanne;101;  Tanne_2_75;2010;32;0;29;
76;Fichte;100; Fichte_1_76;2010;32;28;29;
77;Fichte;100; Fichte_2_77;2010;32;28;29;
78;Fichte;100; Fichte_3_78;2010;32;0;29;
