# 23.05.2012/SH / 16.08.2007/VE;;;;;;;;
# File mit Baumliste für Sortimentssimulator;;;;;;;;
# ========================================================;;;;;;;;
#ID;Baumart;Baumart (Code entsprechend verwendeter Schaftformfunktion, z. B. Lemm1991); Beschrieb;Aufnahme-Datum;BHD;D7m; SchaftLaenge_m;
1;Fichte;100; Fichte_1_1;2010;32;28;0;
2;Fichte;100; Fichte_2_2;2010;32;28;0;
3;Fichte;100; Fichte_3_3;2010;32;0;0;
4;Tanne;101;  Tanne_1_4;2010;32;0;0;
5;Tanne;101;  Tanne_2_5;2010;32;0;0;
6;Fichte;100; Fichte_1_6;2010;32;28;0;
7;Fichte;100; Fichte_2_7;2010;32;28;0;
8;Fichte;100; Fichte_3_8;2010;32;0;0;
9;Tanne;101;  Tanne_1_9;2010;32;0;0;
10;Tanne;101;  Tanne_2_10;2010;32;0;0;
11;Fichte;100; Fichte_1_11;2010;32;28;0;
12;Fichte;100; Fichte_2_12;2010;32;28;0;
13;Fichte;100; Fichte_3_13;2010;32;0;0;
14;Tanne;101;  Tanne_1_14;2010;32;0;0;
15;Tanne;101;  Tanne_2_15;2010;32;0;0;
16;Fichte;100; Fichte_1_16;2010;32;28;0;
17;Fichte;100; Fichte_2_17;2010;32;28;0;
18;Fichte;100; Fichte_3_18;2010;32;0;0;
19;Tanne;101;  Tanne_1_19;2010;32;0;0;
20;Tanne;101;  Tanne_2_20;2010;32;0;0;
21;Fichte;100; Fichte_1_21;2010;32;28;0;
22;Fichte;100; Fichte_2_22;2010;32;28;0;
23;Fichte;100; Fichte_3_23;2010;32;0;0;
24;Tanne;101;  Tanne_1_24;2010;32;0;0;
25;Tanne;101;  Tanne_2_25;2010;32;0;0;
26;Fichte;100; Fichte_1_26;2010;32;28;0;
27;Fichte;100; Fichte_2_27;2010;32;28;0;
28;Fichte;100; Fichte_3_28;2010;32;0;0;
29;Tanne;101;  Tanne_1_29;2010;32;0;0;
30;Tanne;101;  Tanne_2_30;2010;32;0;0;
31;Fichte;100; Fichte_1_31;2010;32;28;0;
32;Fichte;100; Fichte_2_32;2010;32;28;0;
33;Fichte;100; Fichte_3_33;2010;32;0;0;
34;Tanne;101;  Tanne_1_34;2010;32;0;0;
35;Tanne;101;  Tanne_2_35;2010;32;0;0;
36;Fichte;100; Fichte_1_36;2010;32;28;0;
37;Fichte;100; Fichte_2_37;2010;32;28;0;
38;Fichte;100; Fichte_3_38;2010;32;0;0;
39;Tanne;101;  Tanne_1_39;2010;32;0;0;
40;Tanne;101;  Tanne_2_40;2010;32;0;0;
41;Fichte;100; Fichte_1_41;2010;32;28;0;
42;Fichte;100; Fichte_2_42;2010;32;28;0;
43;Fichte;100; Fichte_3_43;2010;32;0;0;
44;Tanne;101;  Tanne_1_44;2010;32;0;0;
45;Tanne;101;  Tanne_2_45;2010;32;0;0;
46;Fichte;100; Fichte_1_46;2010;32;28;0;
47;Fichte;100; Fichte_2_47;2010;32;28;0;
48;Fichte;100; Fichte_3_48;2010;32;0;0;
49;Tanne;101;  Tanne_1_49;2010;32;0;0;
