#ID;Beschrieb/BaumNr;Baumart-Code;Längenklasse;Stärkenklasse;Anzahl Stücke;LaengeMin [m];LaengeMax [m];MittendurchmesserMin [cm];MittendurchmesserMax [cm];ZopfdurchmesserMin [cm];ZopfdurchmesserMax [cm];Längenzugabe [cm];Längenzugabe [%];Position am Stamm unten [m];Position am Stamm oben [m];Längen-Intervall [m];Aushalte-Strategie;Positionierung;Wert A;Wert B;Wert C;Wert D;Anteil A;Anteil B;Anteil C;Anteil D;
1;L3 6;100;L3;6;999999;15.0;22.0;60.0;999.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;290.0;145.0;110.0;75.0;0.05;0.45;0.4;0.1;
2;L3 5;100;L3;5;999999;15.0;22.0;50.0;60.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;290.0;140.0;110.0;75.0;0.05;0.5;0.35;0.1;
3;L3 4;100;L3;4;999999;15.0;22.0;40.0;50.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;140.0;140.0;115.0;75.0;0.0;0.5;0.4;0.1;
4;L3 3b;100;L3;3b;999999;15.0;22.0;35.0;40.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;135.0;135.0;115.0;75.0;0.0;0.5;0.4;0.1;
5;L3 3a;100;L3;3a;999999;15.0;22.0;30.0;35.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;135.0;135.0;115.0;75.0;0.0;0.5;0.4;0.1;
6;L3 2b;100;L3;2b;999999;15.0;22.0;25.0;30.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;130.0;130.0;105.0;75.0;0.0;0.4;0.5;0.1;
7;L3 2a;100;L3;2a;999999;15.0;22.0;20.0;25.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;115.0;115.0;100.0;70.0;0.0;0.4;0.5;0.1;
8;L3 1b;100;L3;1b;999999;15.0;22.0;15.0;20.0;14.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;80.0;80.0;70.0;70.0;0.0;0.4;0.5;0.1;
9;L3 1a;100;L3;1a;999999;15.0;22.0;10.0;15.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
10;L2 6;100;L2;6;999999;6.5;14.5;60.0;999.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;290.0;145.0;110.0;75.0;0.05;0.45;0.4;0.1;
11;L2 5;100;L2;5;999999;6.5;14.5;50.0;60.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;290.0;140.0;110.0;75.0;0.05;0.5;0.35;0.1;
12;L2 4;100;L2;4;999999;6.5;14.5;40.0;50.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;140.0;140.0;115.0;75.0;0.0;0.5;0.4;0.1;
13;L2 3b;100;L2;3b;999999;6.5;14.5;35.0;40.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;135.0;135.0;115.0;75.0;0.0;0.5;0.4;0.1;
14;L2 3a;100;L2;3a;999999;6.5;14.5;30.0;35.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;135.0;135.0;115.0;75.0;0.0;0.5;0.4;0.1;
15;L2 2b;100;L2;2b;999999;6.5;14.5;25.0;30.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;130.0;130.0;105.0;75.0;0.0;0.4;0.5;0.1;
16;L2 2a;100;L2;2a;999999;6.5;14.5;20.0;25.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;115.0;115.0;100.0;70.0;0.0;0.4;0.5;0.1;
17;L2 1b;100;L2;1b;999999;6.5;14.5;15.0;20.0;14.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;80.0;80.0;70.0;70.0;0.0;0.4;0.5;0.1;
18;L2 1a;100;L2;1a;999999;6.5;14.5;10.0;15.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
19;L1 6;100;L1;6;999999;3.0;6.0;60.0;999.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;290.0;190.0;105.0;75.0;0.05;0.45;0.4;0.1;
20;L1 5;100;L1;5;999999;3.0;6.0;50.0;60.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;290.0;170.0;105.0;75.0;0.05;0.5;0.35;0.1;
21;L1 4;100;L1;4;999999;3.0;6.0;40.0;50.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;150.0;150.0;110.0;75.0;0.0;0.5;0.4;0.1;
22;L1 3b;100;L1;3b;999999;3.0;6.0;35.0;40.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;135.0;135.0;110.0;75.0;0.0;0.5;0.4;0.1;
23;L1 3a;100;L1;3a;999999;3.0;6.0;30.0;35.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;130.0;130.0;110.0;75.0;0.0;0.5;0.4;0.1;
24;L1 2b;100;L1;2b;999999;3.0;6.0;25.0;30.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;125.0;325.0;105.0;75.0;0.0;0.4;0.5;0.1;
25;L1 2a;100;L1;2a;999999;3.0;6.0;20.0;25.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;115.0;115.0;100.0;70.0;0.0;0.4;0.5;0.1;
26;L1 1b;100;L1;1b;999999;3.0;6.0;15.0;20.0;14.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;80.0;80.0;70.0;70.0;0.0;0.4;0.5;0.1;
27;L1 1a;100;L1;1a;999999;3.0;6.0;10.0;15.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
28;Restholz;100;Restholz;Restholz;999999;0.0;999.0;0.0;999.0;0.0;999.0;0.0;0.0;0.3;999.0;0.0;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
29;L3 6;101;L3;6;999999;15.0;22.0;60.0;999.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;196.0;171.0;94.5;70.0;0.05;0.45;0.4;0.1;
30;L3 5;101;L3;5;999999;15.0;22.0;50.0;60.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;196.0;153.0;94.5;70.0;0.05;0.5;0.35;0.1;
31;L3 4;101;L3;4;999999;15.0;22.0;40.0;50.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;135.0;135.0;99.0;70.0;0.0;0.5;0.4;0.1;
