#ID;Baum-ID;Baumart;Baumart-Code;Beschrieb/BaumNr;Gruppierungsmerkmal;BHD [cm];Schaftlänge [m];Längenklasse;Stärkenklasse;Position Sortimentsbasis am Stamm [m];Länge [m];Basis-Drm OR;Mitten-Durchm. OR [cm];Zopf-Durchm. OR [cm];Volumen OR [m3];Volumen IR [m3];Volumen Reststück Unten OR [m3];Volumen RestStück Oben OR [m3];Wert [CHF];
1;1;Fichte;100;Fichte_1_1;2010;32.0;29.0;L1;2b;0.3;6.0;32.370711733792;28.238989586425;26.083622455064;0.375226488542;0.409288730657;0.0;0.584103417795;41.274913739655;
2;1;Fichte;100;Fichte_1_1;2010;32.0;29.0;L1;2b;6.4;3.5;26.027863460283;25.113527987889;24.208217108651;0.164471710387;0.18077418776;0.0;0.405311396179;18.091888142594;
3;1;Fichte;100;Fichte_1_1;2010;32.0;29.0;L1;2a;10.0;6.0;24.154142179633;22.300569925948;19.857868257879;0.226742035603;0.253029206712;0.0;0.167725110382;23.354429667065;
4;1;Fichte;100;Fichte_1_1;2010;32.0;29.0;L1;1b;16.1;5.0;19.765144832067;17.206010348535;14.172682496418;0.113005930928;0.129524043002;0.0;0.048422571772;8.362438888674;
5;1;Fichte;100;Fichte_1_1;2010;32.0;29.0;L1;1a;21.2;5.5;14.040900141004;10.051818735566;5.154182225499;0.044729090174;0.052969869085;0.0;0.001689587951;2.23645450868;
6;1;Fichte;100;Fichte_1_1;2010;32.0;29.0;Restholz 1;Restholz 1;26.8;2.199972343445;4.953403434837;2.613995242276;6.9629462E-5;0.001488695107;0.001824999427;0.0;0.0;0.074434755336;
#Summe:;1;Fichte;100;Fichte_1_1;2010;32.0;29.0;;;;;;;;0.92566395074;1.027411036643;;;93.394559702004;
#
7;2;Fichte;100;Fichte_2_2;2010;32.0;29.0;L1;2b;0.3;6.0;32.370711733792;28.238989586425;26.083622455064;0.375226488542;0.409288730657;0.0;0.584103417795;41.274913739655;
8;2;Fichte;100;Fichte_2_2;2010;32.0;29.0;L1;2b;6.4;3.5;26.027863460283;25.113527987889;24.208217108651;0.164471710387;0.18077418776;0.0;0.405311396179;18.091888142594;
9;2;Fichte;100;Fichte_2_2;2010;32.0;29.0;L1;2a;10.0;6.0;24.154142179633;22.300569925948;19.857868257879;0.226742035603;0.253029206712;0.0;0.167725110382;23.354429667065;
10;2;Fichte;100;Fichte_2_2;2010;32.0;29.0;L1;1b;16.1;5.0;19.765144832067;17.206010348535;14.172682496418;0.113005930928;0.129524043002;0.0;0.048422571772;8.362438888674;
11;2;Fichte;100;Fichte_2_2;2010;32.0;29.0;L1;1a;21.2;5.5;14.040900141004;10.051818735566;5.154182225499;0.044729090174;0.052969869085;0.0;0.001689587951;2.23645450868;
12;2;Fichte;100;Fichte_2_2;2010;32.0;29.0;Restholz 1;Restholz 1;26.8;2.199972343445;4.953403434837;2.613995242276;6.9629462E-5;0.001488695107;0.001824999427;0.0;0.0;0.074434755336;
#Summe:;2;Fichte;100;Fichte_2_2;2010;32.0;29.0;;;;;;;;0.92566395074;1.027411036643;;;93.394559702004;
#
13;3;Fichte;100;Fichte_3_3;2010;32.0;29.0;L1;2b;0.3;6.0;32.370711733792;28.238989586425;26.083622455064;0.375226488542;0.409288730657;0.0;0.584103417795;41.274913739655;
14;3;Fichte;100;Fichte_3_3;2010;32.0;29.0;L1;2b;6.4;3.5;26.027863460283;25.113527987889;24.208217108651;0.164471710387;0.18077418776;0.0;0.405311396179;18.091888142594;
15;3;Fichte;100;Fichte_3_3;2010;32.0;29.0;L1;2a;10.0;6.0;24.154142179633;22.300569925948;19.857868257879;0.226742035603;0.253029206712;0.0;0.167725110382;23.354429667065;
16;3;Fichte;100;Fichte_3_3;2010;32.0;29.0;L1;1b;16.1;5.0;19.765144832067;17.206010348535;14.172682496418;0.113005930928;0.129524043002;0.0;0.048422571772;8.362438888674;
17;3;Fichte;100;Fichte_3_3;2010;32.0;29.0;L1;1a;21.2;5.5;14.040900141004;10.051818735566;5.154182225499;0.044729090174;0.052969869085;0.0;0.001689587951;2.23645450868;
18;3;Fichte;100;Fichte_3_3;2010;32.0;29.0;Restholz 1;Restholz 1;26.8;2.199972343445;4.953403434837;2.613995242276;6.9629462E-5;0.001488695107;0.001824999427;0.0;0.0;0.074434755336;
#Summe:;3;Fichte;100;Fichte_3_3;2010;32.0;29.0;;;;;;;;0.92566395074;1.027411036643;;;93.394559702004;
#
19;4;Tanne;101;Tanne_1_4;2010;32.0;29.0;L1;2b;0.3;6.0;31.571544920332;28.115210600998;26.077281967101;0.369095357782;0.414451221103;0.0;0.625599442629;37.297085903871;
20;4;Tanne;101;Tanne_1_4;2010;32.0;29.0;L1;2b;6.4;3.5;26.021198204277;25.092793834376;24.196945819812;0.164251635855;0.184296957848;0.0;0.447039984606;16.597627803157;
21;4;Tanne;101;Tanne_1_4;2010;32.0;29.0;L1;2a;10.0;6.0;24.145118114673;22.487843292075;20.521883066278;0.231062877181;0.26068498088;0.0;0.20472656111;21.581272728667;
22;4;Tanne;101;Tanne_1_4;2010;32.0;29.0;L1;1b;16.1;6.0;20.44937259339;17.995474554624;14.756351228014;0.148198403782;0.169655277397;0.0;0.049752746813;10.966681879844;
23;4;Tanne;101;Tanne_1_4;2010;32.0;29.0;L1;1a;22.2;5.5;14.628660341542;10.37973371705;4.061685662793;0.047181796448;0.055147977497;0.0;5.86453823E-4;2.359089822383;
24;4;Tanne;101;Tanne_1_4;2010;32.0;29.0;Restholz 1;Restholz 1;27.8;1.199972343445;3.777821457916;1.978008618167;9.5551436E-5;4.65092111E-4;5.54840624E-4;0.0;0.0;0.023254605565;
#Summe:;4;Tanne;101;Tanne_1_4;2010;32.0;29.0;;;;;;;;0.960255163158;1.08479125535;;;88.825012743488;
#
