#ID;Baum-ID;Baumart;Baumart-Code;Beschrieb/BaumNr;Gruppierungsmerkmal;BHD [cm];Schaftlänge [m];Längenklasse;Stärkenklasse;Position Sortimentsbasis am Stamm [m];Länge [m];Basis-Drm OR;Mitten-Durchm. OR [cm];Zopf-Durchm. OR [cm];Volumen OR [m3];Volumen IR [m3];Volumen Reststück Unten OR [m3];Volumen RestStück Oben OR [m3];Wert [CHF];
1;1;Fichte;100;null;2012;35.0;15.0;L1;3a;0.3;6.0;34.907465736687;30.861155497028;26.331370599634;0.437913429792;0.479808131214;0.0;0.216025729185;51.016914570805;
2;1;Fichte;100;null;2012;35.0;15.0;L1;2a;6.4;4.0;26.164516897291;22.570294459158;18.259278261548;0.154627105302;0.174855136299;0.0;0.050611458982;15.926591846144;
3;1;Fichte;100;null;2012;35.0;15.0;L1;1a;10.5;4.0;18.014134391049;12.111585311659;3.047630192955;0.047708403979;0.056345255849;0.0;1.18530658E-4;2.385420198948;
4;1;Fichte;100;null;2012;35.0;15.0;Restholz 1;Restholz 1;14.6;0.399971389771;2.468440617092;1.265492639606;1.85643169E-4;5.5192722E-5;6.8320693E-5;0.0;0.0;0.002759636078;
#Summe:;1;Fichte;100;null;2012;35.0;15.0;;;;;;;;0.640304131795;0.711076844055;;;69.331686251975;
#
5;2;Fichte;100;null;2012;35.0;16.0;L1;3a;0.3;6.0;34.944471133765;30.979752042183;26.881350194064;0.442231904938;0.48419395049;0.0;0.251696508271;51.520016925266;
6;2;Fichte;100;null;2012;35.0;16.0;L1;2a;6.4;4.5;26.731065276376;23.054646955358;18.602382700397;0.182280100644;0.20557306014;0.0;0.058329746845;18.774850366315;
7;2;Fichte;100;null;2012;35.0;16.0;L1;1a;11.0;4.5;18.377329164991;12.282067208088;2.833589517426;0.055374435555;0.065284931973;0.0;1.02231027E-4;2.768721777727;
8;2;Fichte;100;null;2012;35.0;16.0;Restholz 1;Restholz 1;15.6;0.399969482422;2.293037180248;1.173462298041;1.83283722E-4;4.7542246E-5;5.8870755E-5;0.0;0.0;0.002377112319;
#Summe:;2;Fichte;100;null;2012;35.0;16.0;;;;;;;;0.679933983383;0.755110813359;;;73.065966181628;
#
9;3;Fichte;100;null;2012;35.0;17.0;L1;3a;0.3;6.0;34.983701509917;31.060524245445;27.324497275651;0.445528248161;0.487509577718;0.0;0.287767868696;51.904040910764;
10;3;Fichte;100;null;2012;35.0;17.0;L1;2b;6.4;3.0;27.188792167556;25.035124877019;22.629110156533;0.139425560328;0.155846570704;0.0;0.134343063634;15.336811636078;
11;3;Fichte;100;null;2012;35.0;17.0;L1;1b;9.5;3.5;22.45825324271;19.197432906282;15.20816159829;0.097587704443;0.112161652537;0.0;0.029115375513;7.221490128755;
12;3;Fichte;100;null;2012;35.0;17.0;L1;1a;13.1;3.0;14.948958811836;10.489322450678;4.561401266596;0.026430273437;0.031521100409;0.0;5.00614279E-4;1.321513671829;
13;3;Fichte;100;null;2012;35.0;17.0;Restholz 1;Restholz 1;16.2;0.799967575073;4.097093578928;2.137291665957;1.80923728E-4;3.57130466E-4;4.40296206E-4;0.0;0.0;0.017856523282;
#Summe:;3;Fichte;100;null;2012;35.0;17.0;;;;;;;;0.709328916834;0.787479197574;;;75.801712870708;
#
14;4;Fichte;100;null;2012;35.0;18.0;L1;3a;0.3;6.0;35.023823657686;31.111967331906;27.678297773064;0.447986813824;0.489949375848;0.0;0.32401168026;52.190463810534;
15;4;Fichte;100;null;2012;35.0;18.0;L1;2b;6.4;3.5;27.555383937582;25.259005914404;22.640727236225;0.167257639074;0.186701326087;0.0;0.142827704801;18.398340298099;
16;4;Fichte;100;null;2012;35.0;18.0;L1;1b;10.0;4.0;22.479799600705;18.937114557039;14.519300152;0.109167538925;0.125539951767;0.0;0.026236660697;8.078397880451;
17;4;Fichte;100;null;2012;35.0;18.0;Restholz 1;Restholz 1;14.1;3.899965667725;14.265554090511;8.400514725795;1.78561407E-4;0.024608838981;0.029436313044;0.0;0.0;1.230441949062;
#Summe:;4;Fichte;100;null;2012;35.0;18.0;;;;;;;;0.749020830804;0.831626966747;;;79.897643938146;
#
18;5;Fichte;100;null;2012;35.0;19.0;L1;3a;0.3;6.0;35.063963614309;31.140603423989;27.957233788281;0.449759760645;0.491673599114;0.0;0.360240941427;52.397012115122;
19;5;Fichte;100;null;2012;35.0;19.0;L1;2b;6.4;4.5;27.845484393051;25.114926490673;21.869440906239;0.215003125346;0.240042788968;0.0;0.13167026113;23.650343788038;
20;5;Fichte;100;null;2012;35.0;19.0;L1;1b;11.0;3.5;21.710888692221;18.690985352858;15.063009748135;0.092440033094;0.106450077524;0.0;0.031933875323;6.84056244893;
21;5;Fichte;100;null;2012;35.0;19.0;L1;1a;14.6;3.5;14.831292242029;10.190972633515;4.022740268868;0.029490965673;0.035166757484;0.0;3.86977162E-4;1.47454828363;
22;5;Fichte;100;null;2012;35.0;19.0;Restholz 1;Restholz 1;18.2;0.799963760376;3.608566466893;1.87250467284;1.76195711E-4;2.7552826E-4;3.40025444E-4;0.0;0.0;0.013776413018;
#Summe:;5;Fichte;100;null;2012;35.0;19.0;;;;;;;;0.786969413017;0.873673248533;;;84.376243048737;
#
23;6;Fichte;100;null;2012;35.0;20.0;L1;3a;0.3;6.0;35.103552357575;31.151471269005;28.173387916263;0.450972370542;0.49281407327;0.0;0.396302685154;52.538281168144;
24;6;Fichte;100;null;2012;35.0;20.0;L1;2b;6.4;5.0;28.071323619037;25.285145596134;21.903313116281;0.242692655687;0.270643285884;0.0;0.139759942035;26.696192125524;
25;6;Fichte;100;null;2012;35.0;20.0;L1;1b;11.5;4.0;21.753178418011;18.456915147158;14.429279610833;0.103644863505;0.11940316184;0.0;0.029000472129;7.669719899345;
26;6;Fichte;100;null;2012;35.0;20.0;L1;1a;15.6;3.0;14.202197897993;10.40394157737;5.652229013079;0.025588610981;0.030537187515;0.0;0.001234983473;1.279430549044;
27;6;Fichte;100;null;2012;35.0;20.0;Restholz 1;Restholz 1;18.7;1.299961853027;5.292289787138;2.796646126135;1.73826057E-4;9.98177167E-4;0.001226292564;0.0;0.0;0.049908858374;
#Summe:;6;Fichte;100;null;2012;35.0;20.0;;;;;;;;0.823896677882;0.914624001072;;;88.233532600431;
#
28;7;Fichte;100;null;2012;35.0;21.0;L1;3a;0.3;6.0;35.142225604725;31.148486893699;28.336873001711;0.451727637943;0.493479076256;0.0;0.432072048183;52.626269820352;
29;7;Fichte;100;null;2012;35.0;21.0;L1;2b;6.4;6.0;28.243154548212;25.135436770151;21.201027433665;0.289218507142;0.32259214443;0.0;0.129408981268;31.814035785656;
30;7;Fichte;100;null;2012;35.0;21.0;L1;1b;12.5;3.5;21.052450088416;18.233195264838;14.9032808718;0.08791833501;0.101403344307;0.0;0.034500708485;6.505956790762;
31;7;Fichte;100;null;2012;35.0;21.0;L1;1a;16.1;3.5;14.693580997406;10.579693597543;5.347868753757;0.031187286364;0.037151315659;0.0;0.001101539632;1.559364318178;
32;7;Fichte;100;null;2012;35.0;21.0;Restholz 1;Restholz 1;19.7;1.299959945679;5.00485416506;2.636096196814;1.7145216E-4;8.89664326E-4;0.001093636161;0.0;0.0;0.044483216291;
#Summe:;7;Fichte;100;null;2012;35.0;21.0;;;;;;;;0.860941430785;0.955719516813;;;92.550109931239;
#
33;8;Fichte;100;null;2012;35.0;22.0;L1;3a;0.3;6.0;35.179757661966;31.134710768657;28.456166168567;0.452110173124;0.493757479421;0.0;0.467447321204;52.670835168926;
34;8;Fichte;100;null;2012;35.0;22.0;L1;2b;6.4;6.0;28.369587628564;25.529611192527;21.937853386238;0.298043702214;0.331741141339;0.0;0.155410518124;32.784807243586;
35;8;Fichte;100;null;2012;35.0;22.0;L1;1b;12.5;4.5;21.802221251011;18.434162563122;14.314310029492;0.11689303041;0.134556983206;0.0;0.031524116277;8.650084250325;
36;8;Fichte;100;null;2012;35.0;22.0;L1;1a;17.1;3.5;14.108635729837;10.097757934713;5.067218888656;0.028510217236;0.034020803532;0.0;9.85665135E-4;1.425510861807;
37;8;Fichte;100;null;2012;35.0;22.0;Restholz 1;Restholz 1;20.7;1.29995803833;4.74006943166;2.489142130307;1.6907393E-4;7.95538609E-4;9.78465367E-4;0.0;0.0;0.039776930456;
#Summe:;8;Fichte;100;null;2012;35.0;22.0;;;;;;;;0.896352661593;0.995054872864;;;95.5710144551;
#
38;9;Fichte;100;null;2012;35.0;23.0;L1;3a;0.3;6.0;35.216017128429;31.112547002934;28.538380334204;0.452189477673;0.493722217258;0.0;0.502345840414;52.680074148876;
39;9;Fichte;100;null;2012;35.0;23.0;L1;2b;6.4;6.0;28.457861302669;25.854615185361;22.572257031288;0.305454223429;0.339364814602;0.0;0.182422280295;33.59996457716;
40;9;Fichte;100;null;2012;35.0;23.0;L1;2a;12.5;3.0;22.448077225948;20.459408270584;18.213707178851;0.093265676097;0.106374459845;0.0;0.079875112221;9.60636463794;
41;9;Fichte;100;null;2012;35.0;23.0;L1;1a;15.6;6.0;18.05384580546;12.512912430469;4.807624948745;0.075996521186;0.089404266891;0.0;8.84543996E-4;3.79982605931;
42;9;Fichte;100;null;2012;35.0;23.0;Restholz 1;Restholz 1;21.7;1.299956130981;4.495368192776;2.354123216204;1.66691399E-4;7.1347709E-4;8.77974445E-4;0.0;0.0;0.035673854497;
#Summe:;9;Fichte;100;null;2012;35.0;23.0;;;;;;;;0.927619375474;1.02974373304;;;99.721903277785;
#
43;10;Fichte;100;null;2012;35.0;24.0;L1;3a;0.3;6.0;35.250936872557;31.083892869629;28.589489105355;0.452022664162;0.493433165209;0.0;0.536700596392;52.66064037483;
44;10;Fichte;100;null;2012;35.0;24.0;L1;2b;6.4;6.0;28.514065821003;26.119143589441;23.118212983885;0.311591578866;0.345621584328;0.0;0.210229187613;34.27507367531;
45;10;Fichte;100;null;2012;35.0;24.0;L1;2a;12.5;3.5;23.004368321737;20.854017252321;18.382868038492;0.114181869889;0.129919229686;0.0;0.086627018091;11.760732598574;
46;10;Fichte;100;null;2012;35.0;24.0;L1;1a;16.1;6.0;18.231052893228;13.024349425651;6.001243208323;0.081474333743;0.095694134829;0.0;0.001900614313;4.07371668716;
47;10;Fichte;100;null;2012;35.0;24.0;Restholz 1;Restholz 1;22.2;1.799954223633;5.721690421002;3.035122155386;1.64304675E-4;0.001631694588;0.002000681074;0.0;0.0;0.081584729418;
#Summe:;10;Fichte;100;null;2012;35.0;24.0;;;;;;;;0.960902141249;1.066668795127;;;102.851748065292;
#
48;11;Fichte;100;null;2012;35.0;25.0;L1;3a;0.3;6.0;35.28449347406;31.050251818259;28.614514234398;0.451656697173;0.492939508959;0.0;0.570457447354;52.618005220625;
49;11;Fichte;100;null;2012;35.0;25.0;L1;2b;6.4;6.0;28.543330044057;26.330739494332;23.58659709141;0.316585853756;0.350655515375;0.0;0.238641289135;34.824443913139;
50;11;Fichte;100;null;2012;35.0;25.0;L1;2a;12.5;4.0;23.482194277082;21.20087918206;18.529450547498;0.135509803566;0.15385239808;0.0;0.093304542005;13.957509767342;
51;11;Fichte;100;null;2012;35.0;25.0;L1;1a;16.6;6.0;18.38485104649;13.468862355103;7.011254744402;0.08648245125;0.10141519903;0.0;0.003318034656;4.32412256249;
52;11;Fichte;100;null;2012;35.0;25.0;Restholz 1;Restholz 1;22.7;2.299952316284;6.758400214351;3.62347234846;1.61913912E-4;0.002945122539;0.003599456593;0.0;0.0;0.147256126958;
#Summe:;11;Fichte;100;null;2012;35.0;25.0;;;;;;;;0.993179928284;1.102462078038;;;105.871337590554;
#
53;12;Fichte;100;null;2012;35.0;26.0;L1;3a;0.3;6.0;35.316693029863;31.01281947106;28.617682027055;0.451130230419;0.492281685297;0.0;0.603572835955;52.556671843767;
54;12;Fichte;100;null;2012;35.0;26.0;L1;2b;6.4;6.0;28.549977668886;26.495990574769;23.986266118413;0.32055691173;0.354598261832;0.0;0.2674899938;35.261260290339;
55;12;Fichte;100;null;2012;35.0;26.0;L1;2a;12.5;4.5;23.89054810649;21.505924198321;18.656339460579;0.157670186968;0.178668250109;0.0;0.099893403242;16.240029257714;
56;12;Fichte;100;null;2012;35.0;26.0;L1;1a;17.1;6.0;18.518259334469;13.857816443134;7.874505220629;0.091043629951;0.106599593793;0.0;0.005104416013;4.552181497538;
57;12;Fichte;100;null;2012;35.0;26.0;Restholz 1;Restholz 1;23.2;2.799950408936;7.643686477188;4.134030522518;1.5951929E-4;0.004632129455;0.005644699142;0.0;0.0;0.23160647274;
