Species	kSName	speciesID
Abies alba	AAlb	00
Larix decidua	LDec	01
Picea abies	PAbi	02
Pinus cembra	PCem	03
Pinus montana	PMon	04
Pinus sylvestris	PSyl	05
Taxus baccata	TBac	06
Acer campestre	ACam	07
Acer platanoides	APla	08
Acer pseudoplatanus	APse	09
Alnus glutinosa	AGlu	10
Alnus incana	AInc	11
Alnus viridis	AVir	12
Betula pendula	BPen	13
Carpinus betulus	CBet	14
Castanea sativa	CSat	15
Corylus avellana	CAve	16
Fagus sylvatica	FSyl	17
Fraxinus excelsior	FExc	18
Populus nigra	PNig	19
Populus tremula	PTre	20
Quercus petraea	QPet	21
Quercus pubescens	QPub	22
Quercus robur	QRob	23
Salix alba	SAlb	24
Sorbus aria	SAri	25
Sorbus aucuparia	SAuc	26
Tilia cordata	TCor	27
Tilia platyphyllos	TPla	28
Ulmus glabra	UGla	29
Pseudotsuga menziesii	PMen	30
